,Statcast Metrics
Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.)Vertical Break (Inches),,HBreak (In.)Horizontal Break (Inches),
54, , Matteo Bocchi, , Jonathan Arauz, 199, 13, 54, 8, Foul, Sinker, 90.7, 2263, 26, ↓, 17, ←
55, , Matteo Bocchi, , Jonathan Arauz, 198, 12, 54, 8, Ball, Sinker, 89.1, 2273, 26, ↓, 16, ←
56, , Matteo Bocchi, , Jonathan Arauz, 197, 11, 54, 8, Foul Tip, Sinker, 89.3, 2293, 26, ↓, 18, ←
57, , Matteo Bocchi, , Jonathan Arauz, 196, 10, 54, 8, Ball, Sinker, 90.8, 2239, 26, ↓, 15, ←
58, , Matteo Bocchi, , Ruben Tejada, 195, 9, 53, 8, Swinging Strike, Slider, 82.2, 2489, 40, ↓, 6, →
59, , Matteo Bocchi, , Ruben Tejada, 194, 8, 53, 8, Foul, Slider, 81.7, 2481, 37, ↓, 5, →
60, , Matteo Bocchi, , Ruben Tejada, 193, 7, 53, 8, Called Strike, Slider, 79.6, 2512, 40, ↓, 3, →
61, , Matteo Bocchi, , Jose Caballero, 192, 6, 52, 8," In play, out(s)", Sinker, 89.4, 2293, 26, ↓, 18, ←
62, , Matteo Bocchi, , Jose Caballero, 191, 5, 52, 8, Ball, Sinker, 90.5, 2247, 28, ↓, 17, ←
63, , Matteo Bocchi, , Jose Caballero, 190, 4, 52, 8, Foul, Slider, 81.9, 2516, 37, ↓, 6, →
64, , Matteo Bocchi, , Jose Caballero, 189, 3, 52, 8, Called Strike, Slider, 80.3, 2519, 41, ↓, 4, →
65, , Matteo Bocchi, , Jose Caballero, 188, 2, 52, 8, Called Strike, Slider, 81.0, 2444, 40, ↓, 0, 
66, , Matteo Bocchi, , Jose Caballero, 187, 1, 52, 8, Ball, Slider, 80.6, 2480, 40, ↓, 3, →
67, , Alberto Baldonado, , Miles Mastrobuoni, 186, 8, 51, 7, Ball, 4-Seam Fastball, 95.7, 2402, 2, ↓, 5, →
68, , Alberto Baldonado, , Miles Mastrobuoni, 185, 7, 51, 7, Ball, Slider, 86.5, 2429, 32, ↓, 3, ←
69, , Alberto Baldonado, , Miles Mastrobuoni, 184, 6, 51, 7, Called Strike, Slider, 85.6, 2302, 30, ↓, 3, ←
70, , Alberto Baldonado, , Miles Mastrobuoni, 183, 5, 51, 7, Ball, Slider, 84.7, 2338, 29, ↓, 1, →
71, , Alberto Baldonado, , Nicky Lopez, 182, 4, 50, 7," In play, out(s)", 4-Seam Fastball, 94.9, 2410, 15, ↓, 7, →
72, , Alberto Baldonado, , Nicky Lopez, 181, 3, 50, 7, Called Strike, Slider, 86.0, 2122, 6, ↓, 7, ←
73, , Alberto Baldonado, , John Valente, 180, 2, 49, 7," In play, out(s)", Sinker, 92.0, 2405, 19, ↓, 14, →
74, , Alberto Baldonado, , John Valente, 179, 1, 49, 7, Swinging Strike, Sinker, 93.5, 2336, 15, ↓, 10, →
