,Statcast Metrics
Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.)Vertical Break (Inches),,HBreak (In.)Horizontal Break (Inches),
199, , Harold Arauz, , Nicky Lopez, 54, 24, 13, 2," In play, no out", Cutter, 89.1, , 24, ↓, 1, →
200, , Harold Arauz, , Nicky Lopez, 53, 23, 13, 2, Called Strike, Cutter, 88.1, 2352, 23, ↓, 0, 
201, , Harold Arauz, , Nicky Lopez, 52, 22, 13, 2, Swinging Strike, Cutter, 88.1, 2295, 26, ↓, 2, →
202, , Harold Arauz, , Nicky Lopez, 51, 21, 13, 2, Ball, Cutter, 88.0, 2249, 24, ↓, 0, 
203, , Harold Arauz, , Nicky Lopez, 50, 20, 13, 2, Ball, Cutter, 88.0, 2209, 26, ↓, 2, →
204, , Harold Arauz, , Robel Garcia, 49, 19, 12, 2, Swinging Strike, Curveball, 79.4, 2466, 50, ↓, 3, →
205, , Harold Arauz, , Robel Garcia, 48, 18, 12, 2, Ball, Cutter, 89.2, 2386, 24, ↓, 1, →
206, , Harold Arauz, , Robel Garcia, 47, 17, 12, 2, Foul, Curveball, 77.7, 2468, 61, ↓, 5, →
207, , Harold Arauz, , Robel Garcia, 46, 16, 12, 2, Ball, Curveball, 78.6, 2452, 57, ↓, 2, →
208, , Harold Arauz, , Robel Garcia, 45, 15, 12, 2, Called Strike, Cutter, 89.6, 2375, 20, ↓, 2, ←
209, , Michele Vassalotti, , Allen Cordoba, 44, 30, 11, 2," In play, out(s)", 4-Seam Fastball, 94.6, 2489, 13, ↓, 8, ←
210, , Michele Vassalotti, , Allen Cordoba, 43, 29, 11, 2, Foul, Curveball, 76.2, 2474, 55, ↓, 10, →
211, , Michele Vassalotti, , Allen Cordoba, 42, 28, 11, 2, Ball, Cutter, 85.9, 2367, 33, ↓, 4, →
212, , Michele Vassalotti, , Allen Cordoba, 41, 27, 11, 2, Foul, 4-Seam Fastball, 94.8, 2441, 15, ↓, 8, ←
213, , Michele Vassalotti, , Allen Cordoba, 40, 26, 11, 2, Foul, Cutter, 87.4, 2315, 28, ↓, 2, ←
214, , Michele Vassalotti, , Luis Castillo, 39, 25, 10, 2," In play, out(s)", 4-Seam Fastball, 92.2, 2417, 18, ↓, 8, ←
215, , Michele Vassalotti, , Luis Castillo, 38, 24, 10, 2, Ball In Dirt, Changeup, 87.4, 1786, 32, ↓, 15, ←
216, , Michele Vassalotti, , Luis Castillo, 37, 23, 10, 2, Ball, 4-Seam Fastball, 95.0, 2414, 14, ↓, 7, ←
217, , Michele Vassalotti, , Luis Castillo, 36, 22, 10, 2, Called Strike, 4-Seam Fastball, 93.0, 2426, 17, ↓, 6, ←
218, , Michele Vassalotti, , Erasmo Caballero, 35, 21, 9, 2, Ball, 4-Seam Fastball, 95.7, 2515, 14, ↓, 9, ←
219, , Michele Vassalotti, , Erasmo Caballero, 34, 20, 9, 2, Foul, Cutter, 85.6, 2394, 30, ↓, 6, →
220, , Michele Vassalotti, , Erasmo Caballero, 33, 19, 9, 2, Foul, 4-Seam Fastball, 94.3, 2421, 15, ↓, 3, ←
221, , Michele Vassalotti, , Erasmo Caballero, 32, 18, 9, 2, Ball, Cutter, 85.0, 2333, 30, ↓, 6, →
222, , Michele Vassalotti, , Erasmo Caballero, 31, 17, 9, 2, Swinging Strike, 4-Seam Fastball, 91.7, 2386, 17, ↓, 2, ←
223, , Michele Vassalotti, , Erasmo Caballero, 30, 16, 9, 2, Foul, 4-Seam Fastball, 93.8, 2428, 17, ↓, 6, ←
224, , Michele Vassalotti, , Erasmo Caballero, 29, 15, 9, 2, Ball, 4-Seam Fastball, 92.7, 2469, 16, ↓, 5, ←
225, , Michele Vassalotti, , Erasmo Caballero, 28, 14, 9, 2, Ball, 4-Seam Fastball, 93.6, 2485, 14, ↓, 10, ←
226, , Michele Vassalotti, , Jose Ramos, 27, 13, 8, 2," In play, run(s)", 4-Seam Fastball, 93.2, 2430, 17, ↓, 9, ←
227, , Michele Vassalotti, , Jose Ramos, 26, 12, 8, 2, Ball, 4-Seam Fastball, 91.8, 2377, 17, ↓, 5, ←
228, , Michele Vassalotti, , Jose Ramos, 25, 11, 8, 2, Ball, Cutter, 82.9, 2422, 39, ↓, 6, →
229, , Michele Vassalotti, , Jose Ramos, 24, 10, 8, 2, Ball, Cutter, 83.0, 2365, 34, ↓, 4, →
230, , Harold Arauz, , Brett Sullivan, 23, 14, 7, 1," In play, out(s)", Cutter, 88.4, 2366, 22, ↓, 0, 
231, , Harold Arauz, , Dominic Fletcher, 22, 13, 6, 1, Ball, Cutter, 88.5, 2312, 24, ↓, 1, ←
232, , Harold Arauz, , Dominic Fletcher, 21, 12, 6, 1, Foul, Cutter, 88.2, 2375, 24, ↓, 0, 
233, , Harold Arauz, , Dominic Fletcher, 20, 11, 6, 1, Called Strike, Cutter, 88.9, 2262, 27, ↓, 0, 
234, , Harold Arauz, , Dominic Fletcher, 19, 10, 6, 1, Ball, Cutter, 88.8, 2385, 25, ↓, 0, 
235, , Harold Arauz, , Dominic Fletcher, 18, 9, 6, 1, Ball, Curveball, 78.8, 2504, 57, ↓, 4, →
236, , Harold Arauz, , Dominic Fletcher, 17, 8, 6, 1, Ball, Changeup, 85.5, 2182, 23, ↓, 10, ←
237, , Harold Arauz, , Dominic Fletcher, 16, 7, 6, 1, Swinging Strike, Cutter, 90.7, 2269, 19, ↓, 4, ←
238, , Harold Arauz, , Vinnie Pasquantino, 15, 6, 5, 1," In play, out(s)", Cutter, 88.4, 2221, 22, ↓, 3, ←
239, , Harold Arauz, , Vinnie Pasquantino, 14, 5, 5, 1, Ball, Cutter, 89.5, 2255, 21, ↓, 2, ←
240, , Harold Arauz, , Sal Frelick, 13, 4, 4, 1," In play, no out", Curveball, 80.0, 2419, 53, ↓, 0, 
241, , Harold Arauz, , Sal Frelick, 12, 3, 4, 1, Swinging Strike, Cutter, 89.8, 2274, 24, ↓, 0, 
242, , Harold Arauz, , Sal Frelick, 11, 2, 4, 1, Ball, Curveball, 78.6, 2466, 57, ↓, 2, →
243, , Harold Arauz, , Sal Frelick, 10, 1, 4, 1, Called Strike, Cutter, 88.5, 2299, 24, ↓, 3, ←
244, , Michele Vassalotti, , Christian Bethancourt, 9, 9, 3, 1, Swinging Strike, Cutter, 85.6, 2479, 30, ↓, 5, →
245, , Michele Vassalotti, , Christian Bethancourt, 8, 8, 3, 1, Ball, 4-Seam Fastball, 96.1, 2574, 14, ↓, 3, ←
246, , Michele Vassalotti, , Christian Bethancourt, 7, 7, 3, 1, Swinging Strike, 4-Seam Fastball, 95.7, 2468, 14, ↓, 5, ←
247, , Michele Vassalotti, , Christian Bethancourt, 6, 6, 3, 1, Ball, Cutter, 84.4, 2717, 29, ↓, 5, →
248, , Michele Vassalotti, , Christian Bethancourt, 5, 5, 3, 1, Swinging Strike, Cutter, 85.0, 2398, 30, ↓, 6, →
249, , Michele Vassalotti, , Jonathan Arauz, 4, 4, 2, 1," In play, out(s)", 4-Seam Fastball, 91.8, 2396, 20, ↓, 2, ←
250, , Michele Vassalotti, , Ruben Tejada, 3, 3, 1, 1," In play, no out", 4-Seam Fastball, 92.5, 2451, 17, ↓, 1, ←
251, , Michele Vassalotti, , Ruben Tejada, 2, 2, 1, 1, Called Strike, Cutter, 83.2, 2488, 32, ↓, 12, →
252, , Michele Vassalotti, , Ruben Tejada, 1, 1, 1, 1, Ball, 4-Seam Fastball, 91.0, 2392, 18, ↓, 3, ←
